,level_0,index,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,W-L,Rank,GB,Save,D/N,cLI,Streak,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA,predict
143,23,143,2023-9-4,boxscore,CHC,,SFG,W,5,0,0.536,2,2.5,,D,1.28,1,0.253,0.328,0.746,6,2,0,4.04,1
144,24,144,2023-9-5,boxscore,CHC,,SFG,W,11,8,0.54,2,2.5,,N,1.18,2,0.254,0.329,0.749,15,12,4,4.06,1
145,25,145,2023-9-6,boxscore,CHC,,SFG,W,8,2,0.543,2,1.5,,D,1.05,3,0.254,0.33,0.75,11,10,0,4.04,1
146,26,146,2023-9-7,boxscore,CHC,,ARI,L,2,6,0.539,2,2.0,Sewald,N,1.09,4,0.254,0.329,0.748,5,10,3,4.06,0
147,27,147,2023-9-8,boxscore,CHC,,ARI,L,0,1,0.535,2,3.0,,D,1.25,-1,0.253,0.328,0.746,3,4,0,4.04,0
148,28,148,2023-9-9,boxscore,CHC,,ARI,L,2,3,0.531,2,4.0,Sewald,D,1.5,-2,0.253,0.328,0.744,8,8,0,4.02,0
149,29,149,2023-9-10,boxscore,CHC,,ARI,W,5,2,0.535,2,3.0,Merryweather,D,1.55,-3,0.253,0.328,0.746,9,9,0,4.01,1
150,0,118,2023-8-7,boxscore,CHW,,NYY,W,5,1,0.404,4,14.0,Shaw,N,0.01,3,0.237,0.294,0.682,6,6,0,4.58,1
151,1,119,2023-8-8,boxscore,CHW,,NYY,L,1,7,0.4,4,14.0,,N,0.01,3,0.237,0.294,0.68,6,13,2,4.6,0
152,2,120,2023-8-9,boxscore,CHW,,NYY,W,9,2,0.405,4,13.0,Santos,N,0.01,-1,0.238,0.295,0.682,11,6,1,4.58,1
153,3,121,2023-8-11,boxscore,CHW,,MIL,L,6,7,0.402,4,12.5,Uribe,N,0.01,1,0.238,0.295,0.682,10,11,1,4.59,0
154,4,122,2023-8-12,boxscore,CHW,,MIL,L,2,3,0.398,4,13.5,Williams,N,0.01,-1,0.237,0.295,0.681,5,7,0,4.57,0
155,5,123,2023-8-13,boxscore,CHW,,MIL,L,3,7,0.395,4,14.5,,D,0.01,-2,0.237,0.295,0.68,9,7,1,4.59,0
156,6,124,2023-8-15,boxscore,CHW,@,CHC,W,5,3,0.4,4,14.5,Santos,N,0.01,-3,0.238,0.295,0.681,10,5,2,4.58,1
157,7,125,2023-8-16,boxscore,CHW,@,CHC,L-wo,3,4,0.397,4,14.5,,N,0.0,1,0.237,0.295,0.68,6,6,2,4.58,0
158,8,126,2023-8-18,boxscore,CHW,@,COL,L,1,14,0.393,4,15.5,,N,0.0,-1,0.237,0.294,0.678,4,13,3,4.66,0
